,name,Mw (g/mol),Mn (g/mol),PDI,Regioregularity R%,DP,SANS,SAXS/GWAXS,DLS,SLS,SEC (GPC),DLS Angle (deg),Concentration (mg/ml),Temperature SANS/SLS/DLS/SEC (K),Dark/light,Applied Electrical Field (Kv/cm),Duration of Applied Electrical Field (min),Aging type,Aging time (hour),Aging temp (K),Sonic/stir (bool),E field (kV/cm),Illumination (lux),Aging time (hour).1,To Aging Temperature (K),Stirring /heating time(min),Sonication time (min),Sonication/Stirring/heating Temperature (K),storage temperature (K),Storage time (hour),Solvent(s),Deuterated solvent,Solid additive,Solid additive quantity (mg/ml),Solvent solubility parameter (Hansen),Polymer solubility parameter ,Polymer solubility parameter 𝛿d [MPa1/2],Polymer solubility parameter  𝛿p [MPa1/2],Polymer solubility parameter 𝛿h [MPa1/2],Rh1 (nm),I1 (Normalized 1-0),Rh2 (nm),I2 (Normalized 1-0),Rh3 (nm),I3 (Normalized 1-0),Rh4 (nm),I4 (Normalized 1-0),Rh deviation (nm) ±,Rg1 (nm),Rg2 (nm),Rg 1deviation (nm) ±,"Rcs,g (crossectional radius) (nm)","Rcs,g (crossectional radius) (nm) ±","Rt,g (radius of gyration) (nm)",Ree (chain end-to-end distance) (nm),Ree deviation (nm) ±,A2 (mol dm3/g^2),df,α1 ,q1 range (A-1),α2 ,q2 range (A-1),Lp (nm),Lp deviation (nm) ±,Lc (nm),Lc deviation (nm) ±,ξs (characteristic length scale) (nm),ξs deviation (nm) ±,ξd (mesh size of the dynamic network) (nm),ξd deviation (nm) ±,R disk (nm),R cylinder (nm),R deviation (nm) ±,R core cylinder (nm),L cylinder (nm),L deviation (nm) ±,t (thinkness) (nm),t (thinkness) (nm) ±,A parallelepiped (thickness)(nm),A deviation (nm) ±,B parallelepiped (width)(nm),B deviation (nm) ±,C parallelepiped (length)(nm),C deviation (nm) ±,Light scattering model,SANS/SAXS model,Expected Conformation,Additional notes 1,Additional notes 2,Doi,matched index,Rh (IW avg log),intensity weighted average Rh (nm),derived Rh (nm),normalized intensity (0-1) corrected
0,MEH-PPV,611000.0,,,,2350,0,0,1.0,1,0.0,,0.1,,,,,,,,,,,,,,,,,,pXyl,0.0,,,,,,,,35.9,,,,,,,,,52.4,,,,,,,,1.9e-07,68.9,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,cumulants,Kratky-Perod,,30-150 degree of sls,,https://doi.org/10.1063/1.468438,,35.9,35.9,,
1,BEH-PPV,306000.0,,,,854,0,0,1.0,1,0.0,,0.1,,,,,,,,,,,,,,,,,,pXyl,0.0,,,,,,,,19.8,,,,,,,,,42.1,,,,,,,,3.1e-07,64.4,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,cumulants,Kratky-Perod,,,,https://doi.org/10.1063/1.468438,,19.8,19.8,,
2,BCHA-PPV,920000.0,,,,1055,0,0,1.0,1,0.0,,0.1,,,,,,,,,,,,,,,,,,pXyl,0.0,,,,,,,,33.7,,,,,,,,,92.1,,,,,,,,1.1e-07,150.5,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,cumulants,Kratky-Perod,,,,https://doi.org/10.1063/1.468438,,33.7,33.7,,
3,PFO,46000.0,,,,,0,0,1.0,1,0.0,40,0.05,303.0,,,,,,,,,,,,,,,,,97:3 vol% Tol-EtOH,0.0,,,,,,,,60.92,1.0,8.0,0.82,,,,,,52.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B,3.0,56.73192164715599,172.70460997274654,"[2.562, 3.52, 4.826, 5.896, 8.571, 11.302, 15.415, 22.464, 31.449, 40.384, 53.628, 73.153, 120.558, 175.568, 255.941, 312.667, 428.011, 623.665, 908.24, 1321.751, 1922.789, 2795.942, 4063.95, 5904.142, 8433.162]","[0.053125   0.28125    0.46666667 0.80208333 0.76979167 0.52916667
 0.29375    0.14583333 0.29583333 0.51979167 0.7625     0.99895833
 1.         0.88229167 0.715625   0.55625    0.47708333 0.33229167
 0.21458333 0.13125    0.06770833 0.02395833 0.         0.
 0.        ]"
4,PFO,46000.0,,,,,0,0,1.0,1,0.0,40,0.05,303.0,,,,,,,,,,,,,,,,,94:6 vol% Tol-EtOH,0.0,,,,,,,,110.77,1.0,6.71,0.3,,,,,,66.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B,4.0,136.04556197947434,460.99156897034135,"[1.218, 1.769, 2.57, 3.734, 5.425, 7.881, 11.068, 15.543, 22.581, 32.253, 42.32, 54.593, 72.859, 171.514, 243.206, 353.332, 513.323, 745.761, 1083.448, 1574.043, 2286.783, 3322.259, 4826.607, 7012.138, 9045.804]","[0.         0.0010101  0.02323232 0.12424242 0.2959596  0.3010101
 0.17070707 0.04141414 0.04040404 0.17171717 0.41313131 0.63232323
 0.85454545 1.         0.82020202 0.66464646 0.50606061 0.36666667
 0.26262626 0.18484848 0.12424242 0.08282828 0.05656566 0.04242424
 0.03939394]"
5,PFO,46000.0,,,,,0,0,1.0,1,0.0,40,0.05,303.0,,,,,,,,,,,,,,,,,89:11 vol% Tol-EtOH,0.0,,,,,,,,149.54,1.0,8.46,0.15,,,,,,85.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B,5.0,161.77371302784746,297.11136158844766,"[1.369, 1.976, 2.851, 4.157, 5.979, 8.794, 12.775, 18.697, 27.07, 40.48, 56.214, 72.073, 92.382, 127.015, 187.004, 271.638, 385.41, 545.877, 786.497, 1135.282, 1613.236, 2376.686, 3449.918, 5063.024, 7305.957, 9815.769]","[0.04004004 0.04104104 0.03703704 0.04504505 0.12812813 0.17717718
 0.09409409 0.02902903 0.02702703 0.06806807 0.2042042  0.45845846
 0.70670671 0.92692693 1.         0.91691692 0.75975976 0.56256256
 0.36736737 0.21521522 0.09409409 0.02402402 0.004004   0.002002
 0.003003   0.        ]"
6,PFO,46000.0,,,,,0,0,1.0,1,0.0,40,0.05,303.0,,,,,,,,,,,,,,,,,80:20 vol% Tol-EtOH,0.0,,,,,,,,224.31,1.0,,,,,,,,135.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B,6.0,275.1918767567859,523.3587685924034,"[5.696, 8.875, 11.846, 17.209, 25.002, 36.323, 52.771, 74.106, 93.99, 115.228, 156.413, 227.238, 330.134, 479.621, 696.798, 1002.055, 1470.7, 2136.646, 3104.138, 4509.719, 6551.761, 8743.815]","[0.         0.03472932 0.03064351 0.02655771 0.01123596 0.01430031
 0.04085802 0.16343207 0.46373851 0.76506639 0.96220633 1.
 0.87640449 0.68437181 0.49642492 0.33503575 0.20633299 0.1113381
 0.05924413 0.03575077 0.03881512 0.04392237]"
7,PFO,46000.0,,,,,0,0,1.0,1,0.0,40,0.05,303.0,,,,,,,,,,,,,,,,,67:33 vol% Tol-EtOH,0.0,,,,,,,,877.85,1.0,70.0,0.05,,,,,,132.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B,7.0,713.8296457990723,805.7732789912183,"[16.339, 26.249, 42.89, 67.746, 110.692, 177.828, 285.682, 407.369, 498.671, 631.363, 747.254, 867.546, 1064.547, 1347.813, 1900.795, 3216.273]","[0.         0.00460829 0.00829493 0.08202765 0.0562212  0.01105991
 0.02488479 0.21013825 0.32903226 0.71059908 1.         0.75023041
 0.5235023  0.29769585 0.03870968 0.04608295]"
8,PFO,46000.0,,,,,0,0,1.0,1,0.0,40,0.05,303.0,,,,,,,,,,,,,,,,,67:33 vol% Tol-EtOH,0.0,,,,,,,,878.0,1.0,70.0,0.07,,,,,,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B,8.0,875.6708051029119,948.3071207903007,"[42.307, 56.418, 85.613, 107.093, 142.718, 202.756, 372.273, 515.25, 587.477, 649.594, 742.104, 849.451, 970.424, 1241.14, 1537.416, 1794.602, 2456.44, 4097.589]","[0.         0.         0.04270833 0.04270833 0.021875   0.
 0.         0.17083333 0.27708333 0.42604167 0.59583333 0.82916667
 1.         0.68020833 0.36145833 0.19166667 0.         0.        ]"
9,PFO,46000.0,,,,,0,0,1.0,1,0.0,40,0.05,308.0,,,,,,,,,,,,,,,,,67:33 vol% Tol-EtOH,0.0,,,,,,,,838.0,1.0,,,,,,,,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laplace inversion,,different solvent and temperature:range,,https://doi.org/10.1039/C5SM00074B,,838.0,838.0,,
