index,name,Mw (g/mol),Mn (g/mol),PDI,Dark/light,Applied Electrical Field (Kv/cm),Duration of Applied Electrical Field (min),DLS Angle (deg),Concentration (mg/ml),Temperature SANS/SLS/DLS/SEC (K),Aging time (hour),To Aging Temperature (K),Stirring /sonication/heating time(min),Sonication time (min),Sonication/Stirring/heating Temperature (K),storage temperature (K),Storage time (hour),Solvent(s),Solid additive,Doi,,index to extract,derived Rh (nm),normalized intensity (0-1),figure number
27,PPFOH-L,16640,10400,1.6,,,,90,5,298,24,298,,,,,,Tol,,https://doi.org/10.1039/C2PY20618H,,3,53.628,0.752,1
28,PPFOH-L,16640,10400,1.6,,,,90,5,298,12,298,,,,,,Tol,,https://doi.org/10.1039/C2PY20618H,,3,73.153,0.979,1
29,PPFOH-L,16640,10400,1.6,,,,90,5,298,2,298,,,,,,Tol,,https://doi.org/10.1039/C2PY20618H,,3,120.558,0.98,1
30,PPFOH-L,16640,10400,1.6,,,,90,5,298,0.5,298,,,,,,Tol,,https://doi.org/10.1039/C2PY20618H,,3,175.568,0.867,1
31,PPFOH-L,16640,10400,1.6,,,,90,5,298,0.166,298,,,,,,Tol,,https://doi.org/10.1039/C2PY20618H,,3,255.941,0.707,1
32,PPFOH-L,16640,10400,1.6,,,,90,5,298,0,298,,,,,,Tol,,https://doi.org/10.1039/C2PY20618H,,3,312.667,0.554,1
63,DPPDTT2,114000,38000,3,,,,20,0.15,298,40,298,,,,,,oDCB,,https://doi.org/10.1021/acs.macromol.0c01646,,3,428.011,0.478,1
64,DPPDTT2,114000,38000,3,,,,20,0.15,298,53,298,,,,,,oDCB,,https://doi.org/10.1021/acs.macromol.0c01646,,3,623.665,0.339,1
69,DPPDTT2,114000,38000,3,,,,20,0.2,298,40,298,,,,,,oDCB,,https://doi.org/10.1021/acs.macromol.0c01646,,3,908.24,0.226,1
70,DPPDTT2,114000,38000,3,,,,20,0.2,298,53,298,,,,,,oDCB,,https://doi.org/10.1021/acs.macromol.0c01646,,3,1321.751,0.146,1
76,DPPDTT2,114000,38000,3,,,,20,0.1,298,67,298,,,,,,oDCB,,https://doi.org/10.1021/acs.macromol.0c01646,,3,1922.789,0.085,1
83,DPPDTT2,114000,38000,3,,,,20,0.15,323,,,,,,298,70,oDCB,,https://doi.org/10.1021/acs.macromol.0c01646,,3,2795.942,0.043,1
84,DPPDTT2,114000,38000,3,,,,20,0.15,333,,,,,,298,70,oDCB,,https://doi.org/10.1021/acs.macromol.0c01646,,3,4063.95,0.02,1
85,DPPDTT2,114000,38000,3,,,,20,0.15,343,,,,,,298,70,oDCB,,https://doi.org/10.1021/acs.macromol.0c01646,,3,5904.142,0.02,1
86,DPPDTT2,114000,38000,3,,,,20,0.15,348,,,,,,298,70,oDCB,,https://doi.org/10.1021/acs.macromol.0c01646,,3,8433.162,0.02,1
87,DPPDTT2,114000,38000,3,,,,20,0.15,353,,,,,,298,70,oDCB,,https://doi.org/10.1021/acs.macromol.0c01646,,,,,
88,DPPDTT2,114000,38000,3,,,,20,0.15,356,,,,,,298,70,oDCB,,https://doi.org/10.1021/acs.macromol.0c01646,,4,1.218,0.008,1
89,DPPDTT2,114000,38000,3,,,,20,0.15,360,,,,,,298,70,oDCB,,https://doi.org/10.1021/acs.macromol.0c01646,,4,1.769,0.009,1
128,NN1,325380,87000,3.74,,,,,0.1,293,,,,,,,,TCB,,https://doi.org/10.1126/sciadv.abe5280,,4,2.57,0.031,1
129,NN1,325380,87000,3.74,,,,,0.1,363,,,,,,,,TCB,,https://doi.org/10.1126/sciadv.abe5280,,4,3.734,0.131,1
136,MEH-PPV,750000-1250000,150000−250000,5,,,,90,9,333,0.5,333,,600,333,,,62.5:37.5 vol% CB-nC9,,https://doi.org/10.1021/acs.jpcb.5b00575,,4,5.425,0.301,1
137,MEH-PPV,750000-1250000,150000−250000,5,,,,60,9,333,0.5,333,,600,333,,,62.5:37.5 vol% CB-nC9,,https://doi.org/10.1021/acs.jpcb.5b00575,,4,7.881,0.306,1
140,MEH-PPV,750000-1250000,150000−250000,5,,,,90,9,323,0.5,323,,600,333,,,62.5:37.5 vol% CB-nC9,,https://doi.org/10.1021/acs.jpcb.5b00575,,4,11.068,0.177,1
141,MEH-PPV,750000-1250000,150000−250000,5,,,,60,9,323,0.5,323,,600,333,,,62.5:37.5 vol% CB-nC9,,https://doi.org/10.1021/acs.jpcb.5b00575,,4,15.543,0.049,1
142,MEH-PPV,750000-1250000,150000−250000,5,,,,120,9,323,0.5,323,,600,333,,,62.5:37.5 vol% CB-nC9,,https://doi.org/10.1021/acs.jpcb.5b00575,,4,22.581,0.048,1
144,MEH-PPV,750000-1250000,150000−250000,5,,,,90,9,313,0.5,313,,600,333,,,62.5:37.5 vol% CB-nC9,,https://doi.org/10.1021/acs.jpcb.5b00575,,4,32.253,0.178,1
146,MEH-PPV,750000-1250000,150000−250000,5,,,,120,9,313,0.5,313,,600,333,,,62.5:37.5 vol% CB-nC9,,https://doi.org/10.1021/acs.jpcb.5b00575,,4,42.32,0.417,1
149,MEH-PPV,750000-1250000,150000−250000,5,,,,120,9,303,7,303,,600,333,,,CB,,https://doi.org/10.1021/acs.jpcb.5b00575,,4,54.593,0.634,1
151,MEH-PPV,750000-1250000,150000−250000,5,,,,120,9,303,0.5,303,,600,333,,,CB,,https://doi.org/10.1021/acs.jpcb.5b00575,,4,72.859,0.854,1
153,MEH-PPV,750000-1250000,150000−250000,5,,,,120,9,323,0.5,323,,600,333,,,CB,,https://doi.org/10.1021/acs.jpcb.5b00575,,4,171.514,0.998,1
178,PFO,70460,60222.22222,1.17,,,,,1,,,,300,,328,,,THF,,https://doi.org/10.1039/D0TC00171F,,4,243.206,0.82,1
179,PFO,70460,60222.22222,1.17,,10,30,,1,,,,300,,328,,,THF,,https://doi.org/10.1039/D0TC00171F,,4,353.332,0.666,1
180,PPFOH,14700,4637.223975,3.17,,,,,1,,,,300,,328,,,THF,,https://doi.org/10.1039/D0TC00171F,,4,513.323,0.509,1
181,PPFOH,14700,4637.223975,3.17,,10,30,,1,,,,300,,328,,,THF,,https://doi.org/10.1039/D0TC00171F,,4,745.761,0.371,1
225,PFO,47000,32191.78082,1.46,,,,90,0.2,298,,,,,,,,10:90 vol% EtOH-CF,,http://dx.doi.org/10.1016/j.polymer.2016.09.072,,4,1083.448,0.268,1
226,PFO,85000,60283.68794,1.41,,,,90,0.2,298,,,,,,,,10:90 vol% EtOH-CF,,http://dx.doi.org/10.1016/j.polymer.2016.09.072,,4,1574.043,0.191,1
227,PFO,113000,85606.06061,1.32,,,,90,0.2,298,,,,,,,,10:90 vol% EtOH-CF,,http://dx.doi.org/10.1016/j.polymer.2016.09.072,,4,2286.783,0.131,1
228,PFO,145000,116935.4839,1.24,,,,90,0.2,298,,,,,,,,10:90 vol% EtOH-CF,,http://dx.doi.org/10.1016/j.polymer.2016.09.072,,4,3322.259,0.09,1
232,F8BT,35244,19800,1.78,,,,,1,293,,,,,,,,15:85 vol% EtOH-Tol,,https://doi.org/10.1016/j.polymer.2023.125951,,4,4826.607,0.064,1
233,F8BT,35244,19800,1.78,,,,,1,293,,,,,,,,20:80 vol% EtOH-Tol,,https://doi.org/10.1016/j.polymer.2023.125951,,4,7012.138,0.05,1
238,PFO,70460,60222.22222,1.17,,,,,5,293,,,480,,348,,,CB,,https://doi.org/10.1016/j.polymer.2019.121986,,4,9045.804,0.047,1
239,PFO,70460,60222.22222,1.17,,,,,5,293,,,480,,348,,,Tol,,https://doi.org/10.1016/j.polymer.2019.121986,,,,,1
240,PFO,70460,60222.22222,1.17,,,,,5,293,,,480,,328,,,THF,,https://doi.org/10.1016/j.polymer.2019.121986,,5,1.369,0.007,1
241,PFO,70460,60222.22222,1.17,,,,,5,293,,,480,,328,,,CF,,https://doi.org/10.1016/j.polymer.2019.121986,,5,1.976,0.008,1
246,PFO,70460,60222.22222,1.17,,,,,1,293,,,480,,348,,,CB,,https://doi.org/10.1016/j.polymer.2019.121986,,5,2.851,0.004,1
247,PFO,70460,60222.22222,1.17,,,,,1,293,,,480,,348,,,Tol,,https://doi.org/10.1016/j.polymer.2019.121986,,5,4.157,0.012,1
248,PFO,70460,60222.22222,1.17,,,,,1,293,,,480,,328,,,THF,,https://doi.org/10.1016/j.polymer.2019.121986,,5,5.979,0.095,1
249,PFO,70460,60222.22222,1.17,,,,,1,293,,,480,,328,,,CF,,https://doi.org/10.1016/j.polymer.2019.121986,,5,8.794,0.144,1
260,P7DPF,22000,13924.05063,1.58,,,,,1,293,,,,,313,,,50:50 vol% Tol-CF,,https://doi.org/10.1021/acs.macromol.0c00579,,5,12.775,0.061,1
279,DP6-PPV,448000,344615.3846,1.3,,,,90,6.78,298,,,720,,313,,,CF,,https://doi.org/10.1021/la0612769,,5,18.697,-0.004,1
280,DP6-PPV,448000,344615.3846,1.3,,,,90,6.78,298,,,720,,313,,,Tol,,https://doi.org/10.1021/la0612769,,5,27.07,-0.006,1
324,PF8,128000,,,,,,90,27.37113402,298,,,720,,313,,,Tol,,https://doi.org/10.1021/ma802408u,,5,40.48,0.035,1
325,PF8,128000,,,,,,90,8.939393939,298,,,720,,313,,,Tol,,https://doi.org/10.1021/ma802408u,,5,56.214,0.171,1
326,PF8,128000,,,,,,90,4.447236181,298,,,720,,313,,,Tol,,https://doi.org/10.1021/ma802408u,,5,72.073,0.425,1
327,PF8,128000,,,,,,90,0.8858858859,298,,,720,,313,,,Tol,,https://doi.org/10.1021/ma802408u,,5,92.382,0.673,1
328,PF8,128000,,,,,,90,0.4427213607,298,,,720,,313,,,Tol,,https://doi.org/10.1021/ma802408u,,5,127.015,0.893,1
329,PF8,128000,,,,,,90,0.1770354071,298,,,720,,313,,,Tol,,https://doi.org/10.1021/ma802408u,,5,187.004,0.966,1
330,PF8,128000,,,,,,90,0.08850885089,298,,,720,,313,,,Tol,,https://doi.org/10.1021/ma802408u,,5,271.638,0.883,1
331,PF8,128000,,,,,,90,8.939393939,298,2016,298,,,353,,,Tol,,https://doi.org/10.1021/ma802408u,,5,385.41,0.726,1
332,PF8,128000,,,,,,90,8.939393939,298,672,298,,,353,,,Tol,,https://doi.org/10.1021/ma802408u,,5,545.877,0.529,1
333,PF8,128000,,,,,,90,8.939393939,298,336,298,,,353,,,Tol,,https://doi.org/10.1021/ma802408u,,5,786.497,0.334,1
334,PF8,128000,,,,,,90,8.939393939,298,216,298,,,353,,,Tol,,https://doi.org/10.1021/ma802408u,,5,1135.282,0.182,1
335,PF8,128000,,,,,,90,8.939393939,298,96,298,,,353,,,Tol,,https://doi.org/10.1021/ma802408u,,5,1613.236,0.061,1
336,PF8,128000,,,,,,90,8.939393939,298,48,298,,,353,,,Tol,,https://doi.org/10.1021/ma802408u,,5,2376.686,-0.009,1
337,PF8,128000,,,,,,90,8.939393939,298,2,298,,,353,,,Tol,,https://doi.org/10.1021/ma802408u,,5,3449.918,-0.029,1
338,PF8,128000,,,,,,90,8.939393939,346.24,24,253,,,353,,,Tol,,https://doi.org/10.1021/ma802408u,,5,5063.024,-0.031,1
339,PF8,128000,,,,,,90,8.939393939,327.41,24,253,,,353,,,Tol,,https://doi.org/10.1021/ma802408u,,5,7305.957,-0.03,1
340,PF8,128000,,,,,,90,8.939393939,315.82,24,253,,,353,,,Tol,,https://doi.org/10.1021/ma802408u,,5,9815.769,-0.033,1
341,PF8,128000,,,,,,90,8.939393939,314.9,24,253,,,353,,,Tol,,https://doi.org/10.1021/ma802408u,,,,,1
412,P4,101000,50500,2,,,,90,0.1,,,,,,,,,H2O,NaCl,https://doi.org/10.1021/ma980423+,,6,5.696,0.008,1
413,P4,101000,50500,2,,,,90,1,,,,,,,,,MeOH,NaCl,https://doi.org/10.1021/ma980423+,,6,8.875,0.042,1
414,P4,101000,50500,2,,,,90,1.05,,,,,,,,,MeOH,TMACl,https://doi.org/10.1021/ma980423+,,6,11.846,0.038,1
415,P4,101000,50500,2,,,,90,2.08,,,,,,,,,MeOH,TMACl,https://doi.org/10.1021/ma980423+,,6,17.209,0.034,1
420,PBDT-TTz,44600,22300,2,,,,,0.5,298,,,180,,343,,,CB,,https://doi.org/10.1021/acsapm.3c02608,,6,25.002,0.019,1
421,PBDT-TTz,44600,22300,2,,,,,0.5,303,,,180,,343,,,CB,,https://doi.org/10.1021/acsapm.3c02608,,6,36.323,0.022,1
422,PBDT-TTz,44600,22300,2,,,,,0.5,313,,,180,,343,,,CB,,https://doi.org/10.1021/acsapm.3c02608,,6,52.771,0.048,1
447,PFO,105570,62100,1.7,,,,90,1,298,0.25,298,180,,353,,,DCE,,https://doi.org/10.1007/s10118-016-1851-z,,6,74.106,0.168,1
448,PFO,105570,62100,1.7,,,,90,1,298,0.3333333333,298,180,,353,,,DCE,,https://doi.org/10.1007/s10118-016-1851-z,,6,93.99,0.462,1
492,PFO,75000,30000,2.5,,,,,10,298,,,,,348,,,90:10 vol% Tol-EtOH,,https://doi.org/10.1021/acs.jpcc.6b08941,,6,115.228,0.757,1
493,PFO,75000,30000,2.5,,,,,0.05,298,,,,,348,,,90:10 vol% Tol-EtOH,,https://doi.org/10.1021/acs.jpcc.6b08941,,6,156.413,0.95,1
535,DP10-PPV,463000,,,,,,90,0.07394369718,298,,,720,,313,,,CF,,https://doi.org/10.1021/la803339f,,6,227.238,0.987,1
536,DP10-PPV,463000,,,,,,90,0.1478947895,298,,,720,,313,,,CF,,https://doi.org/10.1021/la803339f,,6,330.134,0.866,1
537,DP10-PPV,463000,,,,,,90,0.7397698849,298,,,720,,313,,,CF,,https://doi.org/10.1021/la803339f,,6,479.621,0.678,1
539,DP10-PPV,463000,,,,,,90,7.431155779,298,,,720,,313,,,CF,,https://doi.org/10.1021/la803339f,,6,696.798,0.494,1
540,DP10-PPV,463000,,,,,,90,14.93737374,298,,,720,,313,,,CF,,https://doi.org/10.1021/la803339f,,6,1002.055,0.336,1
541,DP10-PPV,463000,,,,,,90,0.04425221261,298,,,720,,313,,,Tol,,https://doi.org/10.1021/la803339f,,6,1470.7,0.21,1
542,DP10-PPV,463000,,,,,,90,0.08850885089,298,,,720,,313,,,Tol,,https://doi.org/10.1021/la803339f,,6,2136.646,0.117,1
543,DP10-PPV,463000,,,,,,90,0.4427213607,298,,,720,,313,,,Tol,,https://doi.org/10.1021/la803339f,,6,3104.138,0.066,1
544,DP10-PPV,463000,,,,,,90,0.8858858859,298,,,720,,313,,,Tol,,https://doi.org/10.1021/la803339f,,6,4509.719,0.043,1
545,DP10-PPV,463000,,,,,,90,4.447236181,298,,,720,,313,,,Tol,,https://doi.org/10.1021/la803339f,,6,6551.761,0.046,1
546,DP10-PPV,463000,,,,,,90,8.939393939,298,,,720,,313,,,Tol,,https://doi.org/10.1021/la803339f,,6,8743.815,0.051,1
550,DP10-PPV,463000,,,,,,90,4.447236181,318.86,,,720,,313,,,Tol,,https://doi.org/10.1021/la803339f,,,,,1
551,DP10-PPV,463000,,,,,,90,4.447236181,311.85,,,720,,313,,,Tol,,https://doi.org/10.1021/la803339f,,7,16.339,0.026,1
552,DP10-PPV,463000,,,,,,90,4.447236181,306.85,,,720,,313,,,Tol,,https://doi.org/10.1021/la803339f,,7,26.249,0.031,1
553,DP10-PPV,463000,,,,,,90,4.447236181,298.12,,,720,,313,,,Tol,,https://doi.org/10.1021/la803339f,,7,42.89,0.035,1
623,MEH-PPV,100000,,,,10,60,90,0.1,298,,,,,,,0,THF,,https://doi.org/10.1021/acs.macromol.2c01964,,7,67.746,0.115,1
624,MEH-PPV,100000,,,,10,60,90,0.1,298,,,,,,,120,THF,,https://doi.org/10.1021/acs.macromol.2c01964,,7,110.692,0.087,1
625,MEH-PPV,100000,,,,10,60,90,0.1,298,,,,,,,240,THF,,https://doi.org/10.1021/acs.macromol.2c01964,,7,177.828,0.038,1
626,MEH-PPV,100000,,,,10,60,90,0.1,298,,,,,,,480,THF,,https://doi.org/10.1021/acs.macromol.2c01964,,7,285.682,0.053,1
627,MEH-PPV,100000,,,,10,60,90,0.1,298,,,,,,,720,THF,,https://doi.org/10.1021/acs.macromol.2c01964,,7,407.369,0.254,1
628,MEH-PPV,100000,,,,10,60,90,0.1,298,,,,,,,0,THF,,https://doi.org/10.1021/acs.macromol.2c01964,,7,498.671,0.383,1
630,MEH-PPV,100000,,,,10,60,90,0.5,298,,,,,,,0,THF,,https://doi.org/10.1021/acs.macromol.2c01964,,7,631.363,0.797,1
638,PFO,36315/58104/61697/65512,28151.2/49240.7/50160.2/54142.1,1.29/1.18/1.23/1.21,,,,,0.05,303,,,,,,,,90:10 vol% CF-EtOH,,https://doi.org/10.1021/jp406598x,,7,747.254,1.111,1
639,PFO,36315/58104/61697/65512,28151.2/49240.7/50160.2/54142.1,1.29/1.18/1.23/1.21,,,,,0.05,313,,,,,,,,90:10 vol% CF-EtOH,,https://doi.org/10.1021/jp406598x,,7,867.546,0.84,1
640,PFO,36315/58104/61697/65512,28151.2/49240.7/50160.2/54142.1,1.29/1.18/1.23/1.21,,,,,0.05,323,,,,,,,,90:10 vol% CF-EtOH,,https://doi.org/10.1021/jp406598x,,7,1064.547,0.594,1
641,polyTVB,4130,2360,1.75,,,,,0.16,,,,,,,,,THF,,https://doi.org/10.1039/C3RA00029J,,7,1347.813,0.349,1
643,DTVI1-TVB99,6354,2824,2.25,,,,,0.16,,,,,,,,,THF,,https://doi.org/10.1039/C3RA00029J,,7,1900.795,0.068,1
644,DTVI5-TVB95,5648.51,2603,2.17,,,,,0.16,,,,,,,,,THF,,https://doi.org/10.1039/C3RA00029J,,7,3216.273,0.076,1
645,DTVI10-TVB90,5512.5,2450,2.25,,,,,0.16,,,,,,,,,THF,,https://doi.org/10.1039/C3RA00029J,,,,,
646,DTVI25-TVB75,4928,2240,2.2,,,,,0.16,,,,,,,,,THF,,https://doi.org/10.1039/C3RA00029J,,10,74.124,0.016,2
647,DTVI50-TVB50,4439.4,2114,2.1,,,,,0.16,,,,,,,,,THF,,https://doi.org/10.1039/C3RA00029J,,10,99.253,0.056,2
804,PQT12,44000,15492.95775,2.84,,,,,5,298,,,,,,,,oDCB,,https://doi.org/10.1021/jp402039g,,10,121.302,0.285,2
805,pBTTT12,24900,10732.75862,2.32,,,,,5,298,,,,,,,,oDCB,,https://doi.org/10.1021/jp402039g,,10,149.529,0.595,2
806,pBTTT12,34200,15405.40541,2.22,,,,,5,298,,,,,,,,oDCB,,https://doi.org/10.1021/jp402039g,,10,188.242,0.32,2
807,P3HT,87000,27029,3.21876503,,,,,0.4307153577,298,,,,0,298,,,pXyl,,https://doi.org/10.1021/la903381f,,10,239.612,0.084,2
808,P3HT,87000,27029,3.21876503,,,,,0.4307153577,298,,,,4,298,,,pXyl,,https://doi.org/10.1021/la903381f,,10,322.489,0.037,2
809,PQT-12,21000,,,,,,,0.1,293,,,,,,,,THF,,https://doi.org/10.1039/C3RA40719E,,10,408.013,0.132,2
810,PQT-12,21000,,,,,,,0.1,293,,,,,,,,Tol,,https://doi.org/10.1039/C3RA40719E,,10,486.982,0.308,2
811,PQT-12,21000,,,,,,,0.1,293,,,,,,,,CB,,https://doi.org/10.1039/C3RA40719E,,10,573.547,0.484,2
812,PQT-12,21000,,,,,,,0.1,293,,,,,,,,CF,,https://doi.org/10.1039/C3RA40719E,,10,656.768,0.682,2
813,PQT-12,21000,,,,,,,0.1,274,,,,,,,,CB,,https://doi.org/10.1039/C3RA40719E,,10,742.939,0.861,2
816,P7DPF,58660,41900,1.4,,,,,0.5,298,,,,,,,,Tol,,https://doi.org/10.1021/acs.jpcc.7b06330,,10,911.855,1.017,2
818,P9DPF,53868,26800,2.01,,,,,0.5,298,,,,,,,,Tol,,https://doi.org/10.1021/acs.jpcc.7b06330,,10,1222.712,1.034,2
823,P3HT,24000,16000,1.5,,,,20,1,293,0.33,298,,,,,,THF,,https://doi.org/10.1021/ma102168a,,10,1592.438,0.864,2
824,P3HT,24000,16000,1.5,,,,20,1,303,0.33,298,,,,,,THF,,https://doi.org/10.1021/ma102168a,,10,1967.323,0.681,2
825,P3HT,24000,16000,1.5,,,,20,1,313,0.33,298,,,,,,THF,,https://doi.org/10.1021/ma102168a,,10,2369.014,0.478,2
826,P3HT,24000,16000,1.5,,,,20,1,323,0.33,298,,,,,,THF,,https://doi.org/10.1021/ma102168a,,10,2774.826,0.292,2
827,P3HT,24000,16000,1.5,,,,20,1,328,0.33,298,,,,,,THF,,https://doi.org/10.1021/ma102168a,,10,3471.707,0.121,2
828,P3HT,87000,,,,,,90,0.4,298,168,298,,,,,,CB,,https://doi.org/10.1016/j.colsurfa.2011.03.003,,10,4551.138,0.067,2
829,P3HT,87000,,,,,,90,0.4,298,168,298,,,,,,CF,,https://doi.org/10.1016/j.colsurfa.2011.03.003,,10,6182.697,0.049,2
830,P3HT,87000,,,,,,90,0.4,298,168,298,,,,,,Tol,,https://doi.org/10.1016/j.colsurfa.2011.03.003,,,,,
831,P3HT,87000,,,,,,90,0.4,298,168,298,,,,,,Xyl,,https://doi.org/10.1016/j.colsurfa.2011.03.003,,12,67.289,0,2
832,P3HT,87000,,,,,,90,0.4,298,168,298,3,,318,,,Tol,,https://doi.org/10.1016/j.colsurfa.2011.03.003,,12,90.168,0.042,2
833,P3HT,68000,,,,,,,10,298,,,,,,298,12,CB,,https://doi.org/10.1016/j.orgel.2010.01.017,,12,105.346,0.12,2
834,P3HT,68000,,,,,,,10,298,,,,,,298,12,CB,n-dodecylthiol,https://doi.org/10.1016/j.orgel.2010.01.017,,12,120.229,0.211,2
835,P3HT,68000,,,,,,,10,298,,,,,,298,12,CB,n-dodecylthiol,https://doi.org/10.1016/j.orgel.2010.01.017,,12,130.409,0.27,2
836,P4,101000,50500,2,,,,45,1.05,None,,,,,,,,MeOH,TMACl,https://doi.org/10.1021/ma980423+,,12,161.858,0.134,2
837,P4,101000,50500,2,,,,60,1.05,None,,,,,,,,MeOH,TMACl,https://doi.org/10.1021/ma980423+,,12,218.347,0.005,2
838,P4,101000,50500,2,,,,120,1.05,None,,,,,,,,MeOH,TMACl,https://doi.org/10.1021/ma980423+,,12,293.103,0.002,2
839,P4,101000,50500,2,,,,140,1.05,None,,,,,,,,MeOH,TMACl,https://doi.org/10.1021/ma980423+,,12,392.95,0.031,2
,,,,,,,,,,,,,,,,,,,,,,12,485.272,0.109,2
138,MEH-PPV,750000-1250000,,,,,,40,9,333,0.5,333,,600,333,,,62.5:37.5 vol% CB-nC9,,https://doi.org/10.1021/acs.jpcb.5b00575,,12,542.218,0.35,2
139,MEH-PPV,750000-1250000,,,,,,30,9,333,0.5,333,,600,333,,,62.5:37.5 vol% CB-nC9,,https://doi.org/10.1021/acs.jpcb.5b00575,,12,598.092,0.578,2
143,MEH-PPV,750000-1250000,,,,,,30,9,323,0.5,323,,600,333,,,62.5:37.5 vol% CB-nC9,,https://doi.org/10.1021/acs.jpcb.5b00575,,12,651.647,0.78,2
145,MEH-PPV,750000-1250000,,,,,,60,9,313,0.5,313,,600,333,,,62.5:37.5 vol% CB-nC9,,https://doi.org/10.1021/acs.jpcb.5b00575,,12,779.484,0.988,2
147,MEH-PPV,750000-1250000,,,,,,30,9,313,0.5,313,,600,333,,,62.5:37.5 vol% CB-nC9,,https://doi.org/10.1021/acs.jpcb.5b00575,,12,1046.267,0.987,2
148,MEH-PPV,750000-1250000,,,,,,30,9,303,7,303,,600,333,,,CB,,https://doi.org/10.1021/acs.jpcb.5b00575,,12,1290.32,0.758,2
150,MEH-PPV,750000-1250000,,,,,,30,9,303,0.5,303,,600,333,,,CB,,https://doi.org/10.1021/acs.jpcb.5b00575,,12,1446.44,0.574,2
152,MEH-PPV,750000-1250000,,,,,,30,9,323,0.5,323,,600,333,,,CB,,https://doi.org/10.1021/acs.jpcb.5b00575,,12,1621.584,0.388,2
,,,,,,,,,,,,,,,,,,,,,,12,1970.039,0.2,2
221,PFO,47000,32191.78082,1.46,,,,90,0.2,298,,,,,,,,CF,,http://dx.doi.org/10.1016/j.polymer.2016.09.072,,12,2626.135,0.034,2
222,PFO,85000,60283.68794,1.41,,,,90,0.2,298,,,,,,,,CF,,http://dx.doi.org/10.1016/j.polymer.2016.09.072,,12,3528.787,0.005,2
223,PFO,113000,85606.06061,1.32,,,,90,0.2,298,,,,,,,,CF,,http://dx.doi.org/10.1016/j.polymer.2016.09.072,,,,,
224,PFO,145000,116935.4839,1.24,,,,90,0.2,298,,,,,,,,CF,,http://dx.doi.org/10.1016/j.polymer.2016.09.072,,13,44.242,0.004,2
,,,,,,,,,,,,,,,,,,,,,,13,59.424,0.04,2
256,P7DPF,22000,13924.05063,1.58,,,,,1,293,,,313,,,,,100:0 vol% Tol-CF,,https://doi.org/10.1021/acs.macromol.0c00579,,13,79.338,0.07,2
257,P7DPF,22000,13924.05063,1.58,,,,,1,293,,,313,,,,,80:20 vol% Tol-CF,,https://doi.org/10.1021/acs.macromol.0c00579,,13,110.322,0.108,2
258,P7DPF,22000,13924.05063,1.58,,,,,1,293,,,313,,,,,70:30 vol% Tol-CF,,https://doi.org/10.1021/acs.macromol.0c00579,,13,173.346,-0.012,2
259,P7DPF,22000,13924.05063,1.58,,,,,1,293,,,313,,,,,60:40 vol% Tol-CF,,https://doi.org/10.1021/acs.macromol.0c00579,,13,268.767,-0.014,2
260,P7DPF,22000,13924.05063,1.58,,,,,1,293,,,313,,,,,50:50 vol% Tol-CF,,https://doi.org/10.1021/acs.macromol.0c00579,,13,396.78,-0.01,2
261,P7DPF,22000,13924.05063,1.58,,,,,1,293,,,313,,,,,40:60 vol% Tol-CF,,https://doi.org/10.1021/acs.macromol.0c00579,,13,532.839,0.016,2
,,,,,,,,,,,,,,,,,,,,,,13,626.896,0.042,2
